Date,Code,Description,Unit of Measure,Value
1960/01,KBP6008D,Final consumption expenditure by general government,R millions,65991
1960/02,KBP6008D,Final consumption expenditure by general government,R millions,71373
1960/03,KBP6008D,Final consumption expenditure by general government,R millions,68838
1960/04,KBP6008D,Final consumption expenditure by general government,R millions,70451
1961/01,KBP6008D,Final consumption expenditure by general government,R millions,70655
1961/02,KBP6008D,Final consumption expenditure by general government,R millions,71834
1961/03,KBP6008D,Final consumption expenditure by general government,R millions,75928
1961/04,KBP6008D,Final consumption expenditure by general government,R millions,75915
1962/01,KBP6008D,Final consumption expenditure by general government,R millions,81215
1962/02,KBP6008D,Final consumption expenditure by general government,R millions,82598
1962/03,KBP6008D,Final consumption expenditure by general government,R millions,81622
1962/04,KBP6008D,Final consumption expenditure by general government,R millions,93524
1963/01,KBP6008D,Final consumption expenditure by general government,R millions,88495
1963/02,KBP6008D,Final consumption expenditure by general government,R millions,85770
1963/03,KBP6008D,Final consumption expenditure by general government,R millions,90894
1963/04,KBP6008D,Final consumption expenditure by general government,R millions,88820
1964/01,KBP6008D,Final consumption expenditure by general government,R millions,96601
1964/02,KBP6008D,Final consumption expenditure by general government,R millions,95720
1964/03,KBP6008D,Final consumption expenditure by general government,R millions,93266
1964/04,KBP6008D,Final consumption expenditure by general government,R millions,96045
1965/01,KBP6008D,Final consumption expenditure by general government,R millions,94920
1965/02,KBP6008D,Final consumption expenditure by general government,R millions,106660
1965/03,KBP6008D,Final consumption expenditure by general government,R millions,104898
1965/04,KBP6008D,Final consumption expenditure by general government,R millions,108287
1966/01,KBP6008D,Final consumption expenditure by general government,R millions,108788
1966/02,KBP6008D,Final consumption expenditure by general government,R millions,115349
1966/03,KBP6008D,Final consumption expenditure by general government,R millions,104654
1966/04,KBP6008D,Final consumption expenditure by general government,R millions,106633
1967/01,KBP6008D,Final consumption expenditure by general government,R millions,110550
1967/02,KBP6008D,Final consumption expenditure by general government,R millions,111079
1967/03,KBP6008D,Final consumption expenditure by general government,R millions,116976
1967/04,KBP6008D,Final consumption expenditure by general government,R millions,114061
1968/01,KBP6008D,Final consumption expenditure by general government,R millions,117803
1968/02,KBP6008D,Final consumption expenditure by general government,R millions,117722
1968/03,KBP6008D,Final consumption expenditure by general government,R millions,122073
1968/04,KBP6008D,Final consumption expenditure by general government,R millions,126303
1969/01,KBP6008D,Final consumption expenditure by general government,R millions,128106
1969/02,KBP6008D,Final consumption expenditure by general government,R millions,127970
1969/03,KBP6008D,Final consumption expenditure by general government,R millions,121965
1969/04,KBP6008D,Final consumption expenditure by general government,R millions,135738
1970/01,KBP6008D,Final consumption expenditure by general government,R millions,130722
1970/02,KBP6008D,Final consumption expenditure by general government,R millions,141106
1970/03,KBP6008D,Final consumption expenditure by general government,R millions,140767
1970/04,KBP6008D,Final consumption expenditure by general government,R millions,142014
1971/01,KBP6008D,Final consumption expenditure by general government,R millions,145918
1971/02,KBP6008D,Final consumption expenditure by general government,R millions,147139
1971/03,KBP6008D,Final consumption expenditure by general government,R millions,150663
1971/04,KBP6008D,Final consumption expenditure by general government,R millions,154968
1972/01,KBP6008D,Final consumption expenditure by general government,R millions,145851
1972/02,KBP6008D,Final consumption expenditure by general government,R millions,151951
1972/03,KBP6008D,Final consumption expenditure by general government,R millions,150582
1972/04,KBP6008D,Final consumption expenditure by general government,R millions,147599
1973/01,KBP6008D,Final consumption expenditure by general government,R millions,148033
1973/02,KBP6008D,Final consumption expenditure by general government,R millions,153239
1973/03,KBP6008D,Final consumption expenditure by general government,R millions,160912
1973/04,KBP6008D,Final consumption expenditure by general government,R millions,160044
1974/01,KBP6008D,Final consumption expenditure by general government,R millions,167161
1974/02,KBP6008D,Final consumption expenditure by general government,R millions,162172
1974/03,KBP6008D,Final consumption expenditure by general government,R millions,173275
1974/04,KBP6008D,Final consumption expenditure by general government,R millions,167771
1975/01,KBP6008D,Final consumption expenditure by general government,R millions,174454
1975/02,KBP6008D,Final consumption expenditure by general government,R millions,193487
1975/03,KBP6008D,Final consumption expenditure by general government,R millions,190369
1975/04,KBP6008D,Final consumption expenditure by general government,R millions,193189
1976/01,KBP6008D,Final consumption expenditure by general government,R millions,198367
1976/02,KBP6008D,Final consumption expenditure by general government,R millions,202719
1976/03,KBP6008D,Final consumption expenditure by general government,R millions,200102
1976/04,KBP6008D,Final consumption expenditure by general government,R millions,191630
1977/01,KBP6008D,Final consumption expenditure by general government,R millions,204956
1977/02,KBP6008D,Final consumption expenditure by general government,R millions,202149
1977/03,KBP6008D,Final consumption expenditure by general government,R millions,203234
1977/04,KBP6008D,Final consumption expenditure by general government,R millions,212845
1978/01,KBP6008D,Final consumption expenditure by general government,R millions,207558
1978/02,KBP6008D,Final consumption expenditure by general government,R millions,201363
1978/03,KBP6008D,Final consumption expenditure by general government,R millions,206894
1978/04,KBP6008D,Final consumption expenditure by general government,R millions,212899
1979/01,KBP6008D,Final consumption expenditure by general government,R millions,206474
1979/02,KBP6008D,Final consumption expenditure by general government,R millions,214296
1979/03,KBP6008D,Final consumption expenditure by general government,R millions,219827
1979/04,KBP6008D,Final consumption expenditure by general government,R millions,227920
1980/01,KBP6008D,Final consumption expenditure by general government,R millions,231349
1980/02,KBP6008D,Final consumption expenditure by general government,R millions,236284
1980/03,KBP6008D,Final consumption expenditure by general government,R millions,240188
1980/04,KBP6008D,Final consumption expenditure by general government,R millions,239863
1981/01,KBP6008D,Final consumption expenditure by general government,R millions,233735
1981/02,KBP6008D,Final consumption expenditure by general government,R millions,253310
1981/03,KBP6008D,Final consumption expenditure by general government,R millions,240649
1981/04,KBP6008D,Final consumption expenditure by general government,R millions,237938
1982/01,KBP6008D,Final consumption expenditure by general government,R millions,266175
1982/02,KBP6008D,Final consumption expenditure by general government,R millions,255900
1982/03,KBP6008D,Final consumption expenditure by general government,R millions,251914
1982/04,KBP6008D,Final consumption expenditure by general government,R millions,252700
1983/01,KBP6008D,Final consumption expenditure by general government,R millions,249176
1983/02,KBP6008D,Final consumption expenditure by general government,R millions,261064
1983/03,KBP6008D,Final consumption expenditure by general government,R millions,264576
1983/04,KBP6008D,Final consumption expenditure by general government,R millions,270472
1984/01,KBP6008D,Final consumption expenditure by general government,R millions,265714
1984/02,KBP6008D,Final consumption expenditure by general government,R millions,280233
1984/03,KBP6008D,Final consumption expenditure by general government,R millions,292366
1984/04,KBP6008D,Final consumption expenditure by general government,R millions,278118
1985/01,KBP6008D,Final consumption expenditure by general government,R millions,285750
1985/02,KBP6008D,Final consumption expenditure by general government,R millions,277915
1985/03,KBP6008D,Final consumption expenditure by general government,R millions,309406
1985/04,KBP6008D,Final consumption expenditure by general government,R millions,281751
1986/01,KBP6008D,Final consumption expenditure by general government,R millions,294087
1986/02,KBP6008D,Final consumption expenditure by general government,R millions,304634
1986/03,KBP6008D,Final consumption expenditure by general government,R millions,289926
1986/04,KBP6008D,Final consumption expenditure by general government,R millions,292637
1987/01,KBP6008D,Final consumption expenditure by general government,R millions,310667
1987/02,KBP6008D,Final consumption expenditure by general government,R millions,312930
1987/03,KBP6008D,Final consumption expenditure by general government,R millions,293586
1987/04,KBP6008D,Final consumption expenditure by general government,R millions,308294
1988/01,KBP6008D,Final consumption expenditure by general government,R millions,310598
1988/02,KBP6008D,Final consumption expenditure by general government,R millions,306405
1988/03,KBP6008D,Final consumption expenditure by general government,R millions,310906
1988/04,KBP6008D,Final consumption expenditure by general government,R millions,317877
1989/01,KBP6008D,Final consumption expenditure by general government,R millions,328720
1989/02,KBP6008D,Final consumption expenditure by general government,R millions,317971
1989/03,KBP6008D,Final consumption expenditure by general government,R millions,321649
1989/04,KBP6008D,Final consumption expenditure by general government,R millions,327482
1990/01,KBP6008D,Final consumption expenditure by general government,R millions,338640
1990/02,KBP6008D,Final consumption expenditure by general government,R millions,323333
1990/03,KBP6008D,Final consumption expenditure by general government,R millions,329481
1990/04,KBP6008D,Final consumption expenditure by general government,R millions,333686
1991/01,KBP6008D,Final consumption expenditure by general government,R millions,337106
1991/02,KBP6008D,Final consumption expenditure by general government,R millions,342380
1991/03,KBP6008D,Final consumption expenditure by general government,R millions,334409
1991/04,KBP6008D,Final consumption expenditure by general government,R millions,341192
1992/01,KBP6008D,Final consumption expenditure by general government,R millions,344816
1992/02,KBP6008D,Final consumption expenditure by general government,R millions,347237
1992/03,KBP6008D,Final consumption expenditure by general government,R millions,343729
1992/04,KBP6008D,Final consumption expenditure by general government,R millions,344588
1993/01,KBP6008D,Final consumption expenditure by general government,R millions,345834
1993/02,KBP6008D,Final consumption expenditure by general government,R millions,348294
1993/03,KBP6008D,Final consumption expenditure by general government,R millions,350277
1993/04,KBP6008D,Final consumption expenditure by general government,R millions,352145
1994/01,KBP6008D,Final consumption expenditure by general government,R millions,353740
1994/02,KBP6008D,Final consumption expenditure by general government,R millions,353743
1994/03,KBP6008D,Final consumption expenditure by general government,R millions,352158
1994/04,KBP6008D,Final consumption expenditure by general government,R millions,348202
1995/01,KBP6008D,Final consumption expenditure by general government,R millions,339456
1995/02,KBP6008D,Final consumption expenditure by general government,R millions,332015
1995/03,KBP6008D,Final consumption expenditure by general government,R millions,326230
1995/04,KBP6008D,Final consumption expenditure by general government,R millions,325548
1996/01,KBP6008D,Final consumption expenditure by general government,R millions,333695
1996/02,KBP6008D,Final consumption expenditure by general government,R millions,340484
1996/03,KBP6008D,Final consumption expenditure by general government,R millions,346341
1996/04,KBP6008D,Final consumption expenditure by general government,R millions,353077
1997/01,KBP6008D,Final consumption expenditure by general government,R millions,351206
1997/02,KBP6008D,Final consumption expenditure by general government,R millions,351348
1997/03,KBP6008D,Final consumption expenditure by general government,R millions,350524
1997/04,KBP6008D,Final consumption expenditure by general government,R millions,349862
1998/01,KBP6008D,Final consumption expenditure by general government,R millions,345363
1998/02,KBP6008D,Final consumption expenditure by general government,R millions,344625
1998/03,KBP6008D,Final consumption expenditure by general government,R millions,342073
1998/04,KBP6008D,Final consumption expenditure by general government,R millions,339730
1999/01,KBP6008D,Final consumption expenditure by general government,R millions,340711
1999/02,KBP6008D,Final consumption expenditure by general government,R millions,342748
