Date,Code,Description,Unit of Measure,Value
1960/01,KBP6006D,Gross domestic product at market prices,R millions,565040
1960/02,KBP6006D,Gross domestic product at market prices,R millions,574255
1960/03,KBP6006D,Gross domestic product at market prices,R millions,584836
1960/04,KBP6006D,Gross domestic product at market prices,R millions,590609
1961/01,KBP6006D,Gross domestic product at market prices,R millions,594892
1961/02,KBP6006D,Gross domestic product at market prices,R millions,592293
1961/03,KBP6006D,Gross domestic product at market prices,R millions,605522
1961/04,KBP6006D,Gross domestic product at market prices,R millions,611027
1962/01,KBP6006D,Gross domestic product at market prices,R millions,626831
1962/02,KBP6006D,Gross domestic product at market prices,R millions,630847
1962/03,KBP6006D,Gross domestic product at market prices,R millions,643161
1962/04,KBP6006D,Gross domestic product at market prices,R millions,651399
1963/01,KBP6006D,Gross domestic product at market prices,R millions,660015
1963/02,KBP6006D,Gross domestic product at market prices,R millions,677468
1963/03,KBP6006D,Gross domestic product at market prices,R millions,695347
1963/04,KBP6006D,Gross domestic product at market prices,R millions,707600
1964/01,KBP6006D,Gross domestic product at market prices,R millions,720854
1964/02,KBP6006D,Gross domestic product at market prices,R millions,733901
1964/03,KBP6006D,Gross domestic product at market prices,R millions,740796
1964/04,KBP6006D,Gross domestic product at market prices,R millions,762459
1965/01,KBP6006D,Gross domestic product at market prices,R millions,777129
1965/02,KBP6006D,Gross domestic product at market prices,R millions,784647
1965/03,KBP6006D,Gross domestic product at market prices,R millions,782169
1965/04,KBP6006D,Gross domestic product at market prices,R millions,795179
1966/01,KBP6006D,Gross domestic product at market prices,R millions,806346
1966/02,KBP6006D,Gross domestic product at market prices,R millions,815121
1966/03,KBP6006D,Gross domestic product at market prices,R millions,827130
1966/04,KBP6006D,Gross domestic product at market prices,R millions,829852
1967/01,KBP6006D,Gross domestic product at market prices,R millions,860021
1967/02,KBP6006D,Gross domestic product at market prices,R millions,861388
1967/03,KBP6006D,Gross domestic product at market prices,R millions,904702
1967/04,KBP6006D,Gross domestic product at market prices,R millions,888275
1968/01,KBP6006D,Gross domestic product at market prices,R millions,902859
1968/02,KBP6006D,Gross domestic product at market prices,R millions,906862
1968/03,KBP6006D,Gross domestic product at market prices,R millions,916650
1968/04,KBP6006D,Gross domestic product at market prices,R millions,933980
1969/01,KBP6006D,Gross domestic product at market prices,R millions,940693
1969/02,KBP6006D,Gross domestic product at market prices,R millions,939899
1969/03,KBP6006D,Gross domestic product at market prices,R millions,982822
1969/04,KBP6006D,Gross domestic product at market prices,R millions,969556
1970/01,KBP6006D,Gross domestic product at market prices,R millions,990426
1970/02,KBP6006D,Gross domestic product at market prices,R millions,1010636
1970/03,KBP6006D,Gross domestic product at market prices,R millions,998969
1970/04,KBP6006D,Gross domestic product at market prices,R millions,1034117
1971/01,KBP6006D,Gross domestic product at market prices,R millions,1049434
1971/02,KBP6006D,Gross domestic product at market prices,R millions,1040879
1971/03,KBP6006D,Gross domestic product at market prices,R millions,1054438
1971/04,KBP6006D,Gross domestic product at market prices,R millions,1062017
1972/01,KBP6006D,Gross domestic product at market prices,R millions,1055756
1972/02,KBP6006D,Gross domestic product at market prices,R millions,1066801
1972/03,KBP6006D,Gross domestic product at market prices,R millions,1067460
1972/04,KBP6006D,Gross domestic product at market prices,R millions,1086365
1973/01,KBP6006D,Gross domestic product at market prices,R millions,1100375
1973/02,KBP6006D,Gross domestic product at market prices,R millions,1095481
1973/03,KBP6006D,Gross domestic product at market prices,R millions,1127164
1973/04,KBP6006D,Gross domestic product at market prices,R millions,1148876
1974/01,KBP6006D,Gross domestic product at market prices,R millions,1170343
1974/02,KBP6006D,Gross domestic product at market prices,R millions,1186429
1974/03,KBP6006D,Gross domestic product at market prices,R millions,1199866
1974/04,KBP6006D,Gross domestic product at market prices,R millions,1188540
1975/01,KBP6006D,Gross domestic product at market prices,R millions,1183780
1975/02,KBP6006D,Gross domestic product at market prices,R millions,1204186
1975/03,KBP6006D,Gross domestic product at market prices,R millions,1213828
1975/04,KBP6006D,Gross domestic product at market prices,R millions,1223835
1976/01,KBP6006D,Gross domestic product at market prices,R millions,1239921
1976/02,KBP6006D,Gross domestic product at market prices,R millions,1215182
1976/03,KBP6006D,Gross domestic product at market prices,R millions,1244094
1976/04,KBP6006D,Gross domestic product at market prices,R millions,1235002
1977/01,KBP6006D,Gross domestic product at market prices,R millions,1232305
1977/02,KBP6006D,Gross domestic product at market prices,R millions,1233489
1977/03,KBP6006D,Gross domestic product at market prices,R millions,1228729
1977/04,KBP6006D,Gross domestic product at market prices,R millions,1235039
1978/01,KBP6006D,Gross domestic product at market prices,R millions,1255347
1978/02,KBP6006D,Gross domestic product at market prices,R millions,1279609
1978/03,KBP6006D,Gross domestic product at market prices,R millions,1265843
1978/04,KBP6006D,Gross domestic product at market prices,R millions,1277364
1979/01,KBP6006D,Gross domestic product at market prices,R millions,1299722
1979/02,KBP6006D,Gross domestic product at market prices,R millions,1308119
1979/03,KBP6006D,Gross domestic product at market prices,R millions,1317882
1979/04,KBP6006D,Gross domestic product at market prices,R millions,1344927
1980/01,KBP6006D,Gross domestic product at market prices,R millions,1372558
1980/02,KBP6006D,Gross domestic product at market prices,R millions,1398651
1980/03,KBP6006D,Gross domestic product at market prices,R millions,1422596
1980/04,KBP6006D,Gross domestic product at market prices,R millions,1425794
1981/01,KBP6006D,Gross domestic product at market prices,R millions,1443503
1981/02,KBP6006D,Gross domestic product at market prices,R millions,1475027
1981/03,KBP6006D,Gross domestic product at market prices,R millions,1496494
1981/04,KBP6006D,Gross domestic product at market prices,R millions,1505831
1982/01,KBP6006D,Gross domestic product at market prices,R millions,1491881
1982/02,KBP6006D,Gross domestic product at market prices,R millions,1479432
1982/03,KBP6006D,Gross domestic product at market prices,R millions,1479054
1982/04,KBP6006D,Gross domestic product at market prices,R millions,1447786
1983/01,KBP6006D,Gross domestic product at market prices,R millions,1425440
1983/02,KBP6006D,Gross domestic product at market prices,R millions,1431359
1983/03,KBP6006D,Gross domestic product at market prices,R millions,1447860
1983/04,KBP6006D,Gross domestic product at market prices,R millions,1484583
1984/01,KBP6006D,Gross domestic product at market prices,R millions,1509773
1984/02,KBP6006D,Gross domestic product at market prices,R millions,1541138
1984/03,KBP6006D,Gross domestic product at market prices,R millions,1515594
1984/04,KBP6006D,Gross domestic product at market prices,R millions,1517937
1985/01,KBP6006D,Gross domestic product at market prices,R millions,1508894
1985/02,KBP6006D,Gross domestic product at market prices,R millions,1497922
1985/03,KBP6006D,Gross domestic product at market prices,R millions,1493968
1985/04,KBP6006D,Gross domestic product at market prices,R millions,1509943
1986/01,KBP6006D,Gross domestic product at market prices,R millions,1491954
1986/02,KBP6006D,Gross domestic product at market prices,R millions,1502255
1986/03,KBP6006D,Gross domestic product at market prices,R millions,1505635
1986/04,KBP6006D,Gross domestic product at market prices,R millions,1511957
1987/01,KBP6006D,Gross domestic product at market prices,R millions,1522953
1987/02,KBP6006D,Gross domestic product at market prices,R millions,1528384
1987/03,KBP6006D,Gross domestic product at market prices,R millions,1533962
1987/04,KBP6006D,Gross domestic product at market prices,R millions,1552793
1988/01,KBP6006D,Gross domestic product at market prices,R millions,1576131
1988/02,KBP6006D,Gross domestic product at market prices,R millions,1587322
1988/03,KBP6006D,Gross domestic product at market prices,R millions,1608670
1988/04,KBP6006D,Gross domestic product at market prices,R millions,1623776
1989/01,KBP6006D,Gross domestic product at market prices,R millions,1633832
1989/02,KBP6006D,Gross domestic product at market prices,R millions,1640920
1989/03,KBP6006D,Gross domestic product at market prices,R millions,1642239
1989/04,KBP6006D,Gross domestic product at market prices,R millions,1632076
1990/01,KBP6006D,Gross domestic product at market prices,R millions,1633382
1990/02,KBP6006D,Gross domestic product at market prices,R millions,1632035
1990/03,KBP6006D,Gross domestic product at market prices,R millions,1630663
1990/04,KBP6006D,Gross domestic product at market prices,R millions,1632176
1991/01,KBP6006D,Gross domestic product at market prices,R millions,1619194
1991/02,KBP6006D,Gross domestic product at market prices,R millions,1615540
1991/03,KBP6006D,Gross domestic product at market prices,R millions,1614913
1991/04,KBP6006D,Gross domestic product at market prices,R millions,1612135
1992/01,KBP6006D,Gross domestic product at market prices,R millions,1600838
1992/02,KBP6006D,Gross domestic product at market prices,R millions,1591019
1992/03,KBP6006D,Gross domestic product at market prices,R millions,1572599
1992/04,KBP6006D,Gross domestic product at market prices,R millions,1559236
1993/01,KBP6006D,Gross domestic product at market prices,R millions,1573050
1993/02,KBP6006D,Gross domestic product at market prices,R millions,1590304
1993/03,KBP6006D,Gross domestic product at market prices,R millions,1613196
1993/04,KBP6006D,Gross domestic product at market prices,R millions,1625148
1994/01,KBP6006D,Gross domestic product at market prices,R millions,1622832
1994/02,KBP6006D,Gross domestic product at market prices,R millions,1640438
1994/03,KBP6006D,Gross domestic product at market prices,R millions,1658888
1994/04,KBP6006D,Gross domestic product at market prices,R millions,1686577
1995/01,KBP6006D,Gross domestic product at market prices,R millions,1692669
1995/02,KBP6006D,Gross domestic product at market prices,R millions,1700185
1995/03,KBP6006D,Gross domestic product at market prices,R millions,1707524
1995/04,KBP6006D,Gross domestic product at market prices,R millions,1714263
