Date,Code,Description,Unit of Measure,Value
1960/01,KBP6009D,Gross fixed capital formation (Investment),R millions,81095
1960/02,KBP6009D,Gross fixed capital formation (Investment),R millions,74784
1960/03,KBP6009D,Gross fixed capital formation (Investment),R millions,76593
1960/04,KBP6009D,Gross fixed capital formation (Investment),R millions,75706
1961/01,KBP6009D,Gross fixed capital formation (Investment),R millions,78773
1961/02,KBP6009D,Gross fixed capital formation (Investment),R millions,77355
1961/03,KBP6009D,Gross fixed capital formation (Investment),R millions,77275
1961/04,KBP6009D,Gross fixed capital formation (Investment),R millions,75059
1962/01,KBP6009D,Gross fixed capital formation (Investment),R millions,76344
1962/02,KBP6009D,Gross fixed capital formation (Investment),R millions,73065
1962/03,KBP6009D,Gross fixed capital formation (Investment),R millions,74891
1962/04,KBP6009D,Gross fixed capital formation (Investment),R millions,77000
1963/01,KBP6009D,Gross fixed capital formation (Investment),R millions,85378
1963/02,KBP6009D,Gross fixed capital formation (Investment),R millions,88055
1963/03,KBP6009D,Gross fixed capital formation (Investment),R millions,89234
1963/04,KBP6009D,Gross fixed capital formation (Investment),R millions,92425
1964/01,KBP6009D,Gross fixed capital formation (Investment),R millions,98383
1964/02,KBP6009D,Gross fixed capital formation (Investment),R millions,104331
1964/03,KBP6009D,Gross fixed capital formation (Investment),R millions,111404
1964/04,KBP6009D,Gross fixed capital formation (Investment),R millions,110793
1965/01,KBP6009D,Gross fixed capital formation (Investment),R millions,119960
1965/02,KBP6009D,Gross fixed capital formation (Investment),R millions,120785
1965/03,KBP6009D,Gross fixed capital formation (Investment),R millions,125314
1965/04,KBP6009D,Gross fixed capital formation (Investment),R millions,132999
1966/01,KBP6009D,Gross fixed capital formation (Investment),R millions,125305
1966/02,KBP6009D,Gross fixed capital formation (Investment),R millions,117186
1966/03,KBP6009D,Gross fixed capital formation (Investment),R millions,125039
1966/04,KBP6009D,Gross fixed capital formation (Investment),R millions,125854
1967/01,KBP6009D,Gross fixed capital formation (Investment),R millions,122708
1967/02,KBP6009D,Gross fixed capital formation (Investment),R millions,124454
1967/03,KBP6009D,Gross fixed capital formation (Investment),R millions,131297
1967/04,KBP6009D,Gross fixed capital formation (Investment),R millions,127654
1968/01,KBP6009D,Gross fixed capital formation (Investment),R millions,132282
1968/02,KBP6009D,Gross fixed capital formation (Investment),R millions,131865
1968/03,KBP6009D,Gross fixed capital formation (Investment),R millions,129428
1968/04,KBP6009D,Gross fixed capital formation (Investment),R millions,135446
1969/01,KBP6009D,Gross fixed capital formation (Investment),R millions,147104
1969/02,KBP6009D,Gross fixed capital formation (Investment),R millions,146501
1969/03,KBP6009D,Gross fixed capital formation (Investment),R millions,149320
1969/04,KBP6009D,Gross fixed capital formation (Investment),R millions,152408
1970/01,KBP6009D,Gross fixed capital formation (Investment),R millions,156298
