Date,Code,Description,Unit of Measure,Value
1960/01,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,260612
1960/02,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,264774
1960/03,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,270153
1960/04,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,269545
1961/01,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,272785
1961/02,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,271143
1961/03,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,271086
1961/04,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,272932
1962/01,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,273460
1962/02,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,275553
1962/03,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,282225
1962/04,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,290596
1963/01,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,287986
1963/02,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,295130
1963/03,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,301217
1963/04,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,309869
1964/01,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,310533
1964/02,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,319129
1964/03,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,328580
1964/04,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,333756
1965/01,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,326172
1965/02,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,331775
1965/03,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,336118
1965/04,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,344377
1966/01,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,339561
1966/02,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,346132
1966/03,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,356967
1966/04,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,358294
1967/01,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,358913
1967/02,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,364528
1967/03,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,367802
1967/04,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,372583
1968/01,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,379784
1968/02,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,387964
1968/03,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,397606
1968/04,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,406123
1969/01,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,401533
1969/02,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,414382
1969/03,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,425914
1969/04,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,439056
1970/01,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,430201
1970/02,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,447438
1970/03,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,454368
1970/04,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,459049
1971/01,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,458025
1971/02,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,457541
1971/03,KBP6007D,Final consumption expenditure by households: Total (PCE),R millions,476196
