Date,Code,Description,Unit of Measure,Value
1960/01,KBP5010L,Balance of Payments: Trade balance,R millions,335
1960/02,KBP5010L,Balance of Payments: Trade balance,R millions,245
1960/03,KBP5010L,Balance of Payments: Trade balance,R millions,220
1960/04,KBP5010L,Balance of Payments: Trade balance,R millions,280
1961/01,KBP5010L,Balance of Payments: Trade balance,R millions,337
1961/02,KBP5010L,Balance of Payments: Trade balance,R millions,343
1961/03,KBP5010L,Balance of Payments: Trade balance,R millions,489
1961/04,KBP5010L,Balance of Payments: Trade balance,R millions,611
1962/01,KBP5010L,Balance of Payments: Trade balance,R millions,566
1962/02,KBP5010L,Balance of Payments: Trade balance,R millions,692
1962/03,KBP5010L,Balance of Payments: Trade balance,R millions,504
1962/04,KBP5010L,Balance of Payments: Trade balance,R millions,354
1963/01,KBP5010L,Balance of Payments: Trade balance,R millions,372
1963/02,KBP5010L,Balance of Payments: Trade balance,R millions,422
1963/03,KBP5010L,Balance of Payments: Trade balance,R millions,397
1963/04,KBP5010L,Balance of Payments: Trade balance,R millions,377
1964/01,KBP5010L,Balance of Payments: Trade balance,R millions,280
1964/02,KBP5010L,Balance of Payments: Trade balance,R millions,300
1964/03,KBP5010L,Balance of Payments: Trade balance,R millions,175
1964/04,KBP5010L,Balance of Payments: Trade balance,R millions,25
1965/01,KBP5010L,Balance of Payments: Trade balance,R millions,-9
1965/02,KBP5010L,Balance of Payments: Trade balance,R millions,-179
1965/03,KBP5010L,Balance of Payments: Trade balance,R millions,-119
1965/04,KBP5010L,Balance of Payments: Trade balance,R millions,323
1966/01,KBP5010L,Balance of Payments: Trade balance,R millions,238
1966/02,KBP5010L,Balance of Payments: Trade balance,R millions,412
1966/03,KBP5010L,Balance of Payments: Trade balance,R millions,304
1966/04,KBP5010L,Balance of Payments: Trade balance,R millions,86
1967/01,KBP5010L,Balance of Payments: Trade balance,R millions,-62
1967/02,KBP5010L,Balance of Payments: Trade balance,R millions,-46
1967/03,KBP5010L,Balance of Payments: Trade balance,R millions,123
1967/04,KBP5010L,Balance of Payments: Trade balance,R millions,453
1968/01,KBP5010L,Balance of Payments: Trade balance,R millions,440
1968/02,KBP5010L,Balance of Payments: Trade balance,R millions,459
1968/03,KBP5010L,Balance of Payments: Trade balance,R millions,398
1968/04,KBP5010L,Balance of Payments: Trade balance,R millions,303
1969/01,KBP5010L,Balance of Payments: Trade balance,R millions,561
1969/02,KBP5010L,Balance of Payments: Trade balance,R millions,152
1969/03,KBP5010L,Balance of Payments: Trade balance,R millions,-13
1969/04,KBP5010L,Balance of Payments: Trade balance,R millions,8
1970/01,KBP5010L,Balance of Payments: Trade balance,R millions,-73
1970/02,KBP5010L,Balance of Payments: Trade balance,R millions,-236
1970/03,KBP5010L,Balance of Payments: Trade balance,R millions,-335
